Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Sub_Category,Quantity,Sales,Discount,Profit,Region,State,City,Payment_Mode,Shipping_Mode
ORD-011125,2022-01-10 00:00:00,CUST-01185,Erica Wilson,PROD-00156,Winterwear Price Lite,Clothing,Winterwear,2,2391.2,0.0,490.34,North,Uttar Pradesh,Noida,UPI,Economy
ORD-007558,2023-07-28 00:00:00,CUST-03168,Linda Rodriguez,PROD-00047,Accessories Policy Plus,Electronics,Accessories,4,78940.4,0.0,7557.15,North,Uttar Pradesh,Noida,net_banking,Standard
ORD-002650,2023-12-04 00:00:00,CUST-02139,Diane Byrd MD,PROD-00295,Outdoor Quickly Lite,Sports,Outdoor,5,5433.07,0.15,590.68,East,West Bengal,Siliguri,Credit Card,Standard
ORD-035747,2022-04-11 00:00:00,CUST-03937,Ashley Norman,PROD-00130,Kids Care Lite,Clothing,Kids,5,10948.85,0.0,2724.48, East ,Bihar,Patna,Credit Card,Standard
ORD-006272,2023-03-02 00:00:00,CUST-00188,Samantha Garcia,PROD-00113,Men Try Lite,Clothing,Men,3,10658.66,0.05,2826.92,South,Karnataka,Mangaluru,Debit Card,Express
ORD-037612,2022-03-08 00:00:00,CUST-03587,Elizabeth Owens,PROD-00323,Apparel Here Max,Sports,Apparel,1,4845.17,0.1,426.14,West,Rajasthan,Jaipur,UPI,Standard
ORD-001823,2022-07-05 00:00:00,CUST-00133,Mary Marshall,PROD-00303,Team Sports Much Lite,Sports,Team Sports,4,15173.83,0.15,1341.9,North,Uttar Pradesh,Lucknow,Credit Card,Standard
ORD-016529,2022-09-23 00:00:00,CUST-02181,Erica Brown,PROD-00304,Team Sports Arrive Elite,Sports,Team Sports,4,20832.84,0.0,3079.17,EAST,West Bengal,Howrah,UPI,Economy
ORD-015960,2023-01-09 00:00:00,CUST-03594,Raymond Finley,PROD-00192,Supplies Or Pro,Office Supplies,Supplies,1,2023.36,0.1,192.85,North,Punjab,Chandigarh,Credit Card,Standard
ORD-034971,06/23/2022,CUST-04043,Elizabeth Gay,PROD-00131,Kids Fund Lite,Clothing,Kids,3,5256.6,0.05,1006.38,North,Uttar Pradesh,Lucknow,Wallet,Same Day
ORD-031835,2023-10-06 00:00:00,CUST-02256,Brian Soto,PROD-00048,Accessories Shake Lite,Electronics,Accessories,3,95771.94,0.0,12291.83,West,Maharashtra,Pune,Debit Card,Economy
ORD-012711,2022-03-06 00:00:00,CUST-02219,Cheryl Turner,PROD-00007,Mobiles Story Lite,Electronics,Mobiles,2,9795.78,0.0,1336.22,West,Rajasthan,Jaipur,UPI,Standard
ORD-030283,2022-06-03 00:00:00,CUST-01481,Russell Anderson,PROD-00091,Storage Growth Classic,Furniture,Storage,3,15726.87,0.0,1998.97,West,Gujarat,Vadodara,Cash on Delivery,Economy
ORD-020932,2022-12-09 00:00:00,CUST-02300,Karen Griffin,PROD-00058,Chairs Head Lite,Furniture,Chairs,2,15648.44,,2175.84,North,Punjab,Amritsar,Net Banking,Same Day
ORD-032204,2023-11-22 00:00:00,CUST-01749,Jennifer Yu,PROD-00238,Decor Sound Lite,Home & Kitchen,Decor,2,1364.14,0.0,176.02,West,Rajasthan,Jodhpur,Credit Card,Express
ORD-033246,2023-08-02 00:00:00,CUST-01229,Jessica Garcia,PROD-00162,Paper Player Max,Office Supplies,Paper,3,4077.83,0.15,212.74,North  ,Delhi,Rohini,Wallet,Express
ORD-003017,2023-09-15 00:00:00,CUST-00851,Shannon Miller,PROD-00003,Mobiles Kind Max,Electronics,Mobiles,2,84211.14,0.05,6957.49,SOUTH,Tamil Nadu,Chennai,Credit Card,Standard
ORD-010082,2023-11-12 00:00:00,CUST-02497,Sharon Baird,PROD-00100,Furnishings Material Max,Furniture,Furnishings,1,4604.39,0.05,206.94,East,Odisha,Cuttack,Wallet,Express
ORD-032519,2022-10-20 00:00:00,CUST-02074,Charles Hernandez,PROD-00204,Labels Talk Pro,Office Supplies,Labels,3,5741.22,0.15,246.6,West,Rajasthan,Jaipur,Debit Card,Standard
ORD-018077,2022-09-12 00:00:00,CUST-00479,Curtis Williams,PROD-00058,Chairs Head Lite,Furniture,Chairs,1,7824.22,0.0,522.05,East,Bihar,Bhagalpur,Debit Card,Express
ORD-020276,2022-07-14 00:00:00,CUST-00526,Joseph Shaw,PROD-00045,Accessories Customer Pro,Electronics,Accessories,2,31613.4,0.05,3902.91,South,Karnataka,Mysuru,Net Banking,Economy
ORD-019218,2022-12-01 00:00:00,CUST-02511,Laurie Shaw,PROD-00017,Laptops Strong Classic,Electronics,Laptops,2,38596.34,0.0,5499.35,West,Maharashtra,Pune,UPI,Standard
ORD-010201,2022-01-16 00:00:00,CUST-00341,Allison Smith,PROD-00001,Mobiles Social Elite,Electronics,Mobiles,4,84278.16,0.1,3019.88,North,Uttar Pradesh,Lucknow,Wallet,Standard
ORD-027536,2022-09-27 00:00:00,CUST-03845,Sara Hamilton,PROD-00267,Lighting Career Lite,Home & Kitchen,Lighting,1,5091.23,0.4,-1286.02,South,Telangana,Warangal,UPI,Standard
ORD-026805,2022-08-01 00:00:00,CUST-03061,Michael Brooks,PROD-00206,Labels Cup Pro,Office Supplies,Labels,1,58.02,0.2,0.14,North,Uttar Pradesh,Kanpur,Wallet,Standard
ORD-004422,2023-09-18 00:00:00,CUST-01036,Natalie Malone,PROD-00234,Appliances Ago Pro,Home & Kitchen,Appliances,3,11003.78,0.4,-1686.54,East,West Bengal,Siliguri,Cash on Delivery,Express
ORD-003050,2023-09-05 00:00:00,CUST-00337,Daniel Kane,PROD-00233,Appliances Fine Max,Home & Kitchen,Appliances,4,25531.52,0.1,1407.56,West,Maharashtra,Mumbai,Wallet,Standard
ORD-038684,2023-03-07 00:00:00,CUST-02697,Laura Gregory,PROD-00133,Kids Project Classic,Clothing,Kids,4,2379.2,0.2,177.28,North,Uttar Pradesh,Kanpur,Debit Card,Express
ORD-016177,2023-01-27 00:00:00,CUST-01451,Joel Wise,PROD-00102,Furnishings Affect Plus,Furniture,Furnishings,4,77216.28,0.15,2717.42,West,Gujarat,Ahmedabad,UPI,Standard
ORD-014732,2022-01-12 00:00:00,CUST-03397,Jeffrey Romero,PROD-00042,Cameras Often Elite,Electronics,Cameras,2,48748.56,0.2,-2616.1,West,Gujarat,Ahmedabad,UPI,Standard
ORD-006872,2023-11-11 00:00:00,CUST-01110,Lorraine Turner,PROD-00291,Outdoor Position Max,Sports,Outdoor,3,1524.32,0.05,167.62,North  ,Punjab,Amritsar,UPI,Express
ORD-040963,2023-07-14 00:00:00,CUST-02404,Patricia Harvey,PROD-00335,Apparel Network Elite,Sports,Apparel,1,621.51,0.05,77.89,South,Tamil Nadu,Madurai,UPI,Standard
ORD-014495,2023-05-15 00:00:00,CUST-02383,Juan Keller MD,PROD-00204,Labels Talk Pro,Office Supplies,Labels,2,4502.92,0.0,863.58,North,Punjab,Amritsar,Credit Card,Economy
ORD-002768,2023-06-01 00:00:00,CUST-01839,Christopher Davis,PROD-00193,Supplies Child Elite,Office Supplies,Supplies,1,2256.02,0.0,331.99,South,Karnataka,Mangaluru,Net Banking,Express
ORD-024823,2022-06-08 00:00:00,CUST-03150,Richard Bailey,PROD-00133,Kids Project Classic,Clothing,Kids,3,2230.5,0.0,504.19,South,Tamil Nadu,Chennai,Wallet,Standard
ORD-041055,2023-01-12 00:00:00,CUST-03163,Eric Fitzgerald,PROD-00171,Binders Star Max,Office Supplies,Binders,1,1624.53,0.05,250.71, South ,Telangana,Hyderabad,Debit Card,Economy
ORD-015177,2022-08-23 00:00:00,CUST-04058,Victoria Benitez,PROD-00301,Team Sports Among Elite,Sports,Team Sports,4,2373.03,0.15,62.51,West,Maharashtra,Mumbai,Credit Card,Express
ORD-010649,2022-04-08 00:00:00,CUST-02818,Jordan Schneider,PROD-00112,Men Where Classic,Clothing,Men,5,4482.6,0.0,1118.94,North,Punjab,Chandigarh,Wallet,Express
ORD-029518,25-02-2022,CUST-03068,Alexander Hunt,PROD-00224,Cookware Land Max,Home & Kitchen,Cookware,5,23327.5,0.0,3348.08,East,Bihar,Bhagalpur,Net Banking,Same Day
ORD-022280,2023-02-20 00:00:00,CUST-00814,Michael Roberts,PROD-00101,Furnishings At Elite,Furniture,Furnishings,4,8596.78,0.05,373.99, West ,Maharashtra,Mumbai,Debit Card,Same Day
ORD-030326,2022-01-20 00:00:00,CUST-03875,Mary Meyer,PROD-00056,Chairs Reduce Elite,Furniture,Chairs,2,58246.83,0.1,1091.7,West,Maharashtra,Nagpur,UPI,Standard
ORD-005145,2022-07-02 00:00:00,CUST-03239,Jeanette Brown,PROD-00260,Lighting Decade Elite,Home & Kitchen,Lighting,1,1450.89,0.05,211.07,North,Delhi,Dwarka,Credit Card,Standard
ORD-021392,2023-08-10 00:00:00,CUST-03566,Nathaniel Wright,PROD-00265,Lighting Commercial Classic,Home & Kitchen,Lighting,1,8462.02,0.2,92.41,East  ,West Bengal,Howrah,Credit Card,Express
ORD-009762,2022-09-15 00:00:00,CUST-03580,,PROD-00014,Mobiles History Max,Electronics,Mobiles,1,13225.75,0.05,1786.01,South,Karnataka,Mysuru,Credit Card,Standard
ORD-007748,2022-11-01 00:00:00,CUST-00248,Frank Cordova,PROD-00153,Winterwear If Lite,Clothing,Winterwear,1,794.3,0.05,87.16,South,Telangana,Warangal,Wallet,Economy
ORD-007463,2023-10-03 00:00:00,CUST-02360,Charles Hawkins,PROD-00157,Paper Fund Plus,Office Supplies,Paper,4,5090.19,0.25,-230.55,East,Bihar,Patna,Wallet,Standard
ORD-019639,2023-01-05 00:00:00,CUST-02757,Vanessa Zimmerman,PROD-00110,Men Rise Max,Clothing,Men,2,1169.66,0.0,274.22,North,Uttar Pradesh,Lucknow,Wallet,Standard
ORD-033985,2022-05-22 00:00:00,CUST-00589,Dale Ryan,PROD-00137,Footwear Section Lite,Clothing,Footwear,2,3995.15,0.1,458.43,West,Gujarat,Surat,Net Banking,Economy
ORD-024993,2023-04-15 00:00:00,CUST-02578,Lisa James,PROD-00259,Storage Fact Lite,Home & Kitchen,Storage,2,14025.42,0.0,1712.43,South,Tamil Nadu,Chennai,Credit Card,Economy
ORD-032479,2023-07-10 00:00:00,CUST-01095,Michael Cooper,PROD-00290,Outdoor General Elite,Sports,Outdoor,5,21822.39,0.1,2218.91,East,Odisha,Rourkela,Net Banking,Standard
ORD-037315,2023-02-25 00:00:00,CUST-00417,Gwendolyn Klein,PROD-00049,Accessories Money Plus,Electronics,Accessories,2,56920.34,0.15,1477.23,South,Karnataka,Mysuru,Wallet,Standard
ORD-004058,2023-12-27 00:00:00,CUST-01107,Martha Smith,PROD-00055,Accessories Method Lite,Electronics,Accessories,1,31005.58,0.15,110.85,North,Punjab,Amritsar,Credit Card,Standard
ORD-018095,2023-01-05 00:00:00,CUST-03618,Matthew Simmons,PROD-00249,Storage One Max,Home & Kitchen,Storage,1,9262.39,0.2,-91.26,East,Odisha,Cuttack,Cash on Delivery,Standard
ORD-017080,2023-04-05 00:00:00,CUST-00281,Amanda Jones,PROD-00128,Kids Day Elite,Clothing,Kids,1,2787.76,0.2,223.11,South,Karnataka,Mangaluru,Net Banking,Express
ORD-032149,2023-10-08 00:00:00,CUST-00988,Nicholas Payne,PROD-00104,Furnishings Hope Classic,Furniture,Furnishings,2,22067.63,0.4,-5621.61,East,West Bengal,Siliguri,Debit Card,Economy
ORD-035382,2023-03-03 00:00:00,CUST-00543,Kenneth Edwards,PROD-00248,Storage Idea Plus,Home & Kitchen,Storage,1,11032.54,0.05,1527.88,South,Telangana,Hyderabad,credit_card,Standard
ORD-005848,2022-03-09 00:00:00,CUST-01255,Julia Dunn MD,PROD-00180,Binders Star Elite,Office Supplies,Binders,1,386.93,0.0,63.72,East,Odisha,Rourkela,,Economy
ORD-000466,2022-03-26 00:00:00,CUST-01944,Jaclyn Watson,PROD-00098,Furnishings Hope Elite,Furniture,Furnishings,1,14085.8,0.1,328.58,South,Telangana,Nizamabad,Credit Card,Express
ORD-029714,2022-06-16 00:00:00,CUST-03512,Shawna Silva,PROD-00057,Chairs As Max,Furniture,Chairs,1,3771.94,0.1,-30.72,South,Telangana,Hyderabad,Cash on Delivery,Standard
ORD-022865,2023-10-17 00:00:00,CUST-04099,Lisa Reed,PROD-00141,Footwear Tax Lite,Clothing,Footwear,1,3088.84,0.2,124.27,North,Delhi,Rohini,UPI,Standard
ORD-038983,2023-01-10 00:00:00,CUST-02504,Matthew Jones,PROD-00226,Appliances Tell Elite,Home & Kitchen,Appliances,3,8237.21,0.15,221.28,East,Odisha,Rourkela,Wallet,Standard
ORD-014967,2023-05-03 00:00:00,CUST-03168,Linda Rodriguez,PROD-00154,Winterwear Social Pro,Clothing,Winterwear,4,8443.92,0.0,1849.29,North,Uttar Pradesh,Kanpur,UPI,Standard
ORD-041917,2023-09-04 00:00:00,CUST-03375,Martha Jacobs,PROD-00117,Women Whole Classic,Clothing,Women,4,10475.49,0.2,46.52,North,Uttar Pradesh,Lucknow,UPI,Standard
ORD-017548,2023-12-23 00:00:00,CUST-01899,Patrick Perez,PROD-00016,Laptops Leader Elite,Electronics,Laptops,1,12229.16,0.0,1839.52,East,Odisha,Cuttack,UPI,Standard
ORD-016078,2022-08-26 00:00:00,CUST-03005,Jimmy Hernandez,PROD-00059,Chairs Born Max,Furniture,Chairs,1,2592.25,0.05,200.72,West,Gujarat,Vadodara,Credit Card,Standard
ORD-034163,2022-02-13 00:00:00,CUST-02312,Dr. Charles Lawrence,PROD-00202,Labels Decision Pro,Office Supplies,Labels,4,1024.56,0.0,172.02,West,Gujarat,Vadodara,UPI,Express
ORD-017307,2022-11-05 00:00:00,CUST-03168,Linda Rodriguez,PROD-00321,Cycling Best Plus,Sports,Cycling,2,4529.05,0.5,-928.92,North,Uttar Pradesh,Noida,Cash on Delivery,Standard
ORD-030864,2023-04-23 00:00:00,CUST-03951,Robert Cooper,PROD-00244,Decor Where Max,Home & Kitchen,Decor,1,4459.15,0.05,529.51,East,Bihar,Patna,Wallet,Express
ORD-021087,2023/02/15,CUST-00261,Katie Suarez,PROD-00091,Storage Growth Classic,Furniture,Storage,1,4193.83,0.2,-204.7,West,Rajasthan,Udaipur,Net Banking,Same Day
ORD-002136,2023-02-07 00:00:00,CUST-01166,Levi Lopez,PROD-00288,Outdoor Individual Pro,Sports,Outdoor,1,4478.36,0.0,818.44,West,Gujarat,Ahmedabad,Credit Card,Express
ORD-012385,2023-12-20 00:00:00,CUST-00960,Mitchell Sellers,PROD-00153,Winterwear If Lite,Clothing,Winterwear,1,794.3,0.05,133.0,South,Karnataka,Bengaluru,Credit Card,Standard
ORD-017968,2023-01-26 00:00:00,CUST-02467,Bradley Wallace,PROD-00239,Decor Know Max,Home & Kitchen,Decor,3,22479.32,0.05,1906.92,West,Rajasthan,Udaipur,Wallet,Standard
ORD-013651,2022-04-28 00:00:00,CUST-00407,Lori Hernandez,PROD-00195,Supplies Explain Classic,Office Supplies,Supplies,2,1497.05,0.15,69.9,South,Karnataka,Mangaluru,UPI,Standard
ORD-024270,2022-04-23 00:00:00,CUST-01210,Anthony Randolph,PROD-00014,Mobiles History Max,Electronics,Mobiles,3,37588.97,0.1,1803.43,South,Tamil Nadu,Madurai,Cash on Delivery,Standard
ORD-033094,2023-02-12 00:00:00,CUST-04171,Julia Marks,PROD-00090,Storage Father Lite,Furniture,Storage,1,14586.73,0.15,-987.78,East,Odisha,Cuttack,UPI,Express
ORD-012484,2023-05-02 00:00:00,CUST-02672,Antonio Nichols,PROD-00020,Laptops Western Classic,Electronics,Laptops,2,33366.42,0.1,2070.33,North,Punjab,Ludhiana,Credit Card,Standard
ORD-013311,2022-01-20 00:00:00,CUST-00862,Bonnie Valencia,PROD-00324,Apparel Heavy Lite,Sports,Apparel,1,2332.72,0.05,317.15,North,Uttar Pradesh,Kanpur,Cash on Delivery,Express
ORD-031972,2022-02-16 00:00:00,CUST-01036,Natalie Malone,PROD-00250,Storage Close Elite,Home & Kitchen,Storage,3,30884.73,0.0,3338.52,East,Odisha,Bhubaneswar,Wallet,Express
ORD-037577,2023-06-07 00:00:00,CUST-03869,Karen Goodman,PROD-00323,Apparel Here Max,Sports,Apparel,1,5383.52,0.0,982.0,West,Gujarat,Surat,UPI,Express
ORD-006421,22-08-2023,CUST-02766,Katherine Baxter,PROD-00266,Lighting Peace Pro,Home & Kitchen,Lighting,1,8543.27,0.05,719.83,West,Maharashtra,Pune,Cash on Delivery,Express
ORD-022666,2023-11-07 00:00:00,CUST-01213,Daniel White,PROD-00148,Winterwear After Classic,Clothing,Winterwear,1,1943.92,0.1,257.26,North,Punjab,Amritsar,Credit Card,Standard
ORD-012336,2023-12-06 00:00:00,CUST-00198,,PROD-00188,Art Heart Plus,Office Supplies,Art,3,4019.18,0.05,680.53,North,Delhi,Rohini,Debit Card,Express
ORD-033331,2022-06-27 00:00:00,CUST-00571,Ashley Smith,PROD-00246,Decor Likely Plus,Home & Kitchen,Decor,4,44674.0,0.0,8240.33,South,Telangana,Warangal,Credit Card,Standard
ORD-015538,2023-08-08 00:00:00,CUST-02012,Jill Spencer,PROD-00189,Art Thank Pro,Office Supplies,Art,1,1145.49,0.15,30.47,East,Odisha,Rourkela,Cash on Delivery,Express
ORD-014564,2022-12-26 00:00:00,CUST-00875,Jesse Lynch,PROD-00141,Footwear Tax Lite,Clothing,Footwear,1,3281.89,0.15,126.48,South,Karnataka,Mangaluru,Credit Card,Standard
ORD-012038,2022-11-18 00:00:00,CUST-00782,Amy Garcia,PROD-00090,Storage Father Lite,Furniture,Storage,5,68643.44,0.2,-7608.6,East,Bihar,Bhagalpur,Cash on Delivery,Standard
ORD-032056,2022-11-13 00:00:00,CUST-03927,Rebecca Blake,PROD-00133,Kids Project Classic,Clothing,Kids,2,1338.3,0.1,105.87,East,Bihar,,Net Banking,Economy
ORD-005378,2023-10-21 00:00:00,CUST-03369,Jessica Adams,PROD-00079,Tables Ground Plus,Furniture,Tables,3,37951.0,0.05,2257.34,East,Bihar,,UPI,Standard
ORD-037593,2023-07-16 00:00:00,CUST-02226,Nancy Larson,PROD-00042,Cameras Often Elite,Electronics,Cameras,1,30467.85,0.0,4489.74,South,Tamil Nadu,Coimbatore,Credit Card,Standard
ORD-000735,2022-01-27 00:00:00,CUST-03702,Larry Rivera,PROD-00133,Kids Project Classic,Clothing,Kids,2,1487.0,0.0,365.64,East,Odisha,Bhubaneswar,Debit Card,Economy
ORD-022609,2022-07-02 00:00:00,CUST-03467,Jennifer Smith,PROD-00142,Footwear Ten Pro,Clothing,Footwear,4,4187.41,0.15,346.5,North,Delhi,Rohini,UPI,Express
ORD-029747,2022-05-17 00:00:00,CUST-03742,Juan Nichols,PROD-00279,Fitness Theory Lite,Sports,Fitness,1,4564.11,0.2,-19.94,West,Maharashtra,Mumbai,Cash on Delivery,Express
ORD-029186,2023-04-11 00:00:00,CUST-01321,Diane Mcdowell,PROD-00089,Bookcases Next Pro,Furniture,Bookcases,1,,0.0,3237.94,South,Karnataka,Bengaluru,UPI,Economy
ORD-014994,2022-05-22 00:00:00,CUST-00914,Emily Nelson,PROD-00192,Supplies Or Pro,Office Supplies,Supplies,2,4496.36,0.0,820.76,South,Karnataka,Bengaluru,Credit Card,Standard
ORD-011505,2022-03-14 00:00:00,CUST-01866,Michael Brown,PROD-00072,Tables Direction Elite,Furniture,Tables,3,14249.86,0.4,-4295.95,West,Rajasthan,Jodhpur,Net Banking,Standard
ORD-025032,2023-06-23 00:00:00,CUST-00166,John Anderson,PROD-00147,Winterwear Voice Max,Clothing,Winterwear,1,2044.31,0.2,49.34,West,Gujarat,Surat,Debit Card,Standard
ORD-012485,2023-11-16 00:00:00,CUST-03534,Michael Chandler,PROD-00305,Team Sports Several Pro,Sports,Team Sports,3,15021.8,0.15,524.12,East,Odisha,Cuttack,Debit Card,Express
ORD-022457,2023-12-21 00:00:00,CUST-01420,Kimberly Nelson,PROD-00099,Furnishings Other Lite,Furniture,Furnishings,3,5559.76,0.1,-91.1,East,Odisha,Rourkela,UPI,Same Day
ORD-021780,2023-03-17 00:00:00,CUST-01800,Martin Fitzpatrick,PROD-00098,Furnishings Hope Elite,Furniture,Furnishings,2,29736.69,0.05,1247.66,South,Telangana,Warangal,Debit Card,Express
ORD-002827,2023-06-24 00:00:00,CUST-03060,Alex Jones DVM,PROD-00023,Headphones Personal Plus,Electronics,Headphones,2,26026.64,0.3,-4208.5,WEST,Maharashtra,Pune,Debit Card,Express
ORD-028563,2023-03-11 00:00:00,CUST-03675,Allison Mcpherson DDS,PROD-00228,Appliances Activity Lite,Home & Kitchen,Appliances,2,6943.9,0.3,-1097.69,North,Uttar Pradesh,Noida,UPI,Standard
ORD-010045,2023-04-12 00:00:00,CUST-00727,Christian Dawson,PROD-00281,Fitness How Plus,Sports,Fitness,4,28612.16,0.0,6186.15,West,Rajasthan,,Credit Card,Standard
ORD-000626,2023-10-16 00:00:00,CUST-04104,Joe Page,PROD-00095,Storage Risk Max,Furniture,Storage,3,77687.27,0.05,3984.13,South,Tamil Nadu,Coimbatore,Net Banking,Standard
ORD-011512,2022-01-06 00:00:00,CUST-01174,Monica Anderson,PROD-00018,Laptops Television Plus,Electronics,Laptops,2,51517.2,0.2,-3122.82, South ,Telangana,Hyderabad,UPI,Standard
ORD-001140,2022-04-16 00:00:00,CUST-02364,David Bird,PROD-00047,Accessories Policy Plus,Electronics,Accessories,2,31576.16,0.2,-1923.28,South,Karnataka,Bengaluru,Cash on Delivery,Standard
ORD-039508,2022-02-14 00:00:00,CUST-01592,Nicolas James,PROD-00019,Laptops Recently Classic,Electronics,Laptops,4,91013.85,0.15,2726.29,South,Karnataka,Mangaluru,Cash on Delivery,Standard
ORD-021402,2022-10-23 00:00:00,CUST-02940,Brian Miller,PROD-00152,Winterwear Beyond Max,Clothing,Winterwear,1,949.1,0.2,51.24,South,Tamil Nadu,Chennai,UPI,Standard
ORD-037637,2022-09-21 00:00:00,CUST-02466,Jacqueline Pierce,PROD-00166,Paper Should Plus,Office Supplies,Paper,3,6289.47,0.0,1364.64,West,Maharashtra,Mumbai,UPI,Standard
