Customer_ID,Customer_Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Sum,Segment
CUST-00028,Stephanie Ross,86,2,22325.73,3,1,2,312,6,Needs Attention
CUST-00029,Zachary Hicks,116,3,21521.36,2,2,2,222,6,Lost Customers
CUST-00030,Anthony Rodriguez,2,37,828261.75,5,5,5,555,15,Champions
CUST-00031,Rebecca Henderson,133,1,5208.21,2,1,1,211,4,Lost Customers
CUST-00032,James Ferrell,26,34,841072.4500000001,4,5,5,455,14,Champions
CUST-00033,Tricia Valencia,7,24,603509.77,5,5,5,555,15,Champions
CUST-00034,Nathan Maldonado,268,3,43223.59,1,2,2,122,5,Lost Customers
CUST-00035,Debra Davidson,283,2,48404.5,1,1,2,112,4,Lost Customers
CUST-00036,Jeffrey Chavez,77,1,6644.74,3,1,1,311,5,Needs Attention
CUST-00038,Cassandra Gaines,167,3,56422.14,2,2,2,222,6,Lost Customers
CUST-00039,Elizabeth Fowler,55,8,85111.63,3,4,3,343,10,Loyal Customers
CUST-00040,Brittany Farmer,481,1,1170.01,1,1,1,111,3,Lost Customers
CUST-00041,Paula Moreno,89,1,2984.97,3,1,1,311,5,Needs Attention
CUST-00042,Fred Smith,57,14,212269.69999999998,3,5,4,354,12,Loyal Customers
CUST-00044,Anthony Humphrey,43,16,165984.59,4,5,4,454,13,Champions
CUST-00045,Angelica Tucker,276,4,84493.03000000001,1,2,3,123,6,Needs Attention
CUST-00046,Philip Cannon,135,1,2059.17,2,1,1,211,4,Lost Customers
CUST-00047,John Pierce,26,6,142341.73,4,3,4,434,11,Loyal Customers
CUST-00048,Shane Henderson,14,8,28648.18,5,4,2,542,11,Needs Attention
CUST-00049,Joshua Blair,169,14,639339.19,2,5,5,255,12,At Risk
CUST-00050,Eric Carney,99,10,421144.10000000003,3,4,5,345,12,Loyal Customers
CUST-00051,Jessica Holmes,27,12,230133.41,4,4,4,444,12,Champions
CUST-00052,Danny Morgan,100,6,116905.33,2,3,3,233,8,At Risk
CUST-00053,Crystal Robinson,522,2,4172.22,1,1,1,111,3,Lost Customers
CUST-00054,Mark Perez,21,9,169341.93,4,4,4,444,12,Champions
CUST-00055,Shannon Jones,31,19,259978.37,4,5,5,455,14,Champions
CUST-00056,Michael Lewis,17,90,1556435.98,5,5,5,555,15,Champions
CUST-00057,Timothy Duncan,123,3,31626.03,2,2,2,222,6,Lost Customers
CUST-00058,Richard Aguirre,171,3,101201.85,2,2,3,223,7,Needs Attention
CUST-00059,Brent Jordan,286,6,30316.640000000003,1,3,2,132,6,Needs Attention
CUST-00060,John Daniel,140,2,12033.7,2,1,1,211,4,Lost Customers
CUST-00061,Victoria Garcia,2,26,328744.81,5,5,5,555,15,Champions
CUST-00062,Gerald Hensley,34,19,421863.44,4,5,5,455,14,Champions
CUST-00063,Connor West,569,2,38369.47,1,1,2,112,4,Lost Customers
CUST-00064,Donald Wright,67,6,80472.01,3,3,3,333,9,Loyal Customers
CUST-00065,Jessica Callahan,5,10,206827.78,5,4,4,544,13,Champions
CUST-00067,Tracy House,18,19,700973.14,5,5,5,555,15,Champions
CUST-00068,Carol Tucker,284,3,71612.24,1,2,3,123,6,Needs Attention
CUST-00069,James Brown,66,13,339271.43,3,4,5,345,12,Loyal Customers
CUST-00070,William Baker,55,2,21976.16,3,1,2,312,6,Needs Attention
CUST-00071,Jordan Henderson,24,18,449618.34,4,5,5,455,14,Champions
CUST-00072,Whitney Peters,105,4,29022.32,2,2,2,222,6,Lost Customers
CUST-00073,Brittney Phillips,423,1,5344.49,1,1,1,111,3,Lost Customers
CUST-00074,Lauren Daniels,17,17,306129.14999999997,5,5,5,555,15,Champions
CUST-00075,Amy Silva,525,1,1643.77,1,1,1,111,3,Lost Customers
CUST-00076,Sarah Moore,76,5,78489.61,3,3,3,333,9,Loyal Customers
CUST-00077,Angela Lopez,58,34,468574.36,3,5,5,355,13,Loyal Customers
CUST-00078,Megan Young,62,22,316262.74,3,5,5,355,13,Loyal Customers
CUST-00079,Steve Sanchez,36,10,206297.15,4,4,4,444,12,Champions
CUST-00080,Lisa Barnes,25,6,43796.59,4,3,2,432,9,Needs Attention
CUST-00081,Kelly Donovan,401,3,17432.2,1,2,1,121,4,Lost Customers
CUST-00082,Mike Allen,40,1,129488.36,4,1,4,414,9,New Customers
CUST-00084,Paul Jones,105,7,385224.8,2,3,5,235,10,At Risk
CUST-00085,Zachary Ferrell,1,11,257710.91,5,4,5,545,14,Champions
CUST-00086,Daniel Baker,2,10,50981.299999999996,5,4,2,542,11,Needs Attention
CUST-00087,Shirley Suarez,8,9,108969.95,5,4,3,543,12,Loyal Customers
CUST-00089,Lisa Archer,50,4,57829.25,3,2,3,323,8,Potential Loyalists
CUST-00090,Aimee Montoya,439,1,5039.48,1,1,1,111,3,Lost Customers
CUST-00091,Matthew Mcmillan,19,9,108878.17,4,4,3,443,11,Loyal Customers
CUST-00092,Brian Rodriguez,8,4,24052.510000000002,5,2,2,522,9,New Customers
CUST-00093,Denise Jacobs,24,17,81514.9,4,5,3,453,12,Loyal Customers
CUST-00094,Christina Walters,154,5,23163.989999999998,2,3,2,232,7,Needs Attention
CUST-00095,John Whitehead,457,1,1095.84,1,1,1,111,3,Lost Customers
CUST-00096,Anna Henderson,136,1,1834.13,2,1,1,211,4,Lost Customers
CUST-00097,Aaron Wise,62,9,82547.59,3,4,3,343,10,Loyal Customers
CUST-00098,Deborah Figueroa,4,5,75691.93,5,3,3,533,11,Loyal Customers
CUST-00099,Jessica Smith,129,4,55543.909999999996,2,2,2,222,6,Lost Customers
CUST-00100,Stephen Mckee,712,1,1498.33,1,1,1,111,3,Lost Customers
CUST-00101,Sandra Aguilar,15,13,171583.04,5,4,4,544,13,Champions
CUST-00102,Cameron Parker,49,2,3985.11,3,1,1,311,5,Needs Attention
CUST-00103,Rebecca Valencia,195,6,40485.46,2,3,2,232,7,Needs Attention
CUST-00104,Christine Wright,377,9,144927.81,1,4,4,144,9,At Risk
CUST-00105,Richard Henson,228,3,38958.55,2,2,2,222,6,Lost Customers
CUST-00106,Marc Moore,428,3,28445.14,1,2,2,122,5,Lost Customers
CUST-00107,Sharon Cherry,2,76,1517243.59,5,5,5,555,15,Champions
CUST-00108,Sierra Johnson,1,4,61529.05,5,2,3,523,10,New Customers
CUST-00109,Evelyn Galvan,79,4,31626.94,3,2,2,322,7,Needs Attention
CUST-00110,Sharon Cochran,34,11,236449.94999999998,4,4,4,444,12,Champions
CUST-00111,Unknown Customer,2,40,472860.73,5,5,5,555,15,Champions
CUST-00112,Shannon Walker,5,82,1232298.01,5,5,5,555,15,Champions
CUST-00113,Julia Torres,83,6,126863.4,3,3,4,334,10,Loyal Customers
CUST-00114,Crystal Johnson,50,3,10797.81,3,2,1,321,6,Needs Attention
CUST-00115,Garrett Lin,188,1,4846.73,2,1,1,211,4,Lost Customers
CUST-00116,Diana May,25,14,224271.18,4,5,4,454,13,Champions
CUST-00117,William Herrera,41,4,77707.29000000001,4,2,3,423,9,New Customers
CUST-00119,Victor Baker,53,23,610245.17,3,5,5,355,13,Loyal Customers
CUST-00120,Jeffrey Chandler,465,1,28314.26,1,1,2,112,4,Lost Customers
CUST-00121,Larry Dixon,56,6,174131.44,3,3,4,334,10,Loyal Customers
CUST-00122,Kenneth Scott,48,2,1626.8500000000001,3,1,1,311,5,Needs Attention
CUST-00123,April Frost,109,3,197608.38,2,2,4,224,8,Needs Attention
CUST-00124,Michelle Harmon,302,1,8556.47,1,1,1,111,3,Lost Customers
CUST-00125,Helen Jones,233,2,8696.699999999999,2,1,1,211,4,Lost Customers
CUST-00126,Erin Edwards,357,3,10479.37,1,2,1,121,4,Lost Customers
CUST-00127,Michelle Evans,301,4,34895.6,1,2,2,122,5,Lost Customers
CUST-00128,Jason Powell,21,7,101964.18,4,3,3,433,10,Loyal Customers
CUST-00129,Cameron Fisher,68,7,59217.73,3,3,3,333,9,Loyal Customers
CUST-00130,Megan Orr,6,40,576163.8,5,5,5,555,15,Champions
CUST-00131,Elizabeth Kelley,441,1,7464.8,1,1,1,111,3,Lost Customers
CUST-00132,Dustin Jordan,88,2,12414.17,3,1,1,311,5,Needs Attention
CUST-00133,Mary Marshall,25,20,429779.57,4,5,5,455,14,Champions
CUST-00134,Daniel Kennedy,105,4,98799.11,2,2,3,223,7,Needs Attention
CUST-00135,Rebecca Jackson,1,41,650448.37,5,5,5,555,15,Champions
CUST-00136,Jose Schultz,51,2,69220.2,3,1,3,313,7,Potential Loyalists
CUST-00137,Robert Potter,5,59,1054515.51,5,5,5,555,15,Champions
CUST-00138,Courtney Gonzalez,446,1,6232.16,1,1,1,111,3,Lost Customers
CUST-00139,David Alvarez,56,26,608681.19,3,5,5,355,13,Loyal Customers
CUST-00140,Angel Perry,79,4,18324.0,3,2,1,321,6,Needs Attention
CUST-00141,Cheyenne Horton,10,104,2792701.28,5,5,5,555,15,Champions
CUST-00142,David Douglas Jr.,17,3,48564.18,5,2,2,522,9,New Customers
CUST-00143,Patricia Rodriguez,342,3,32701.34,1,2,2,122,5,Lost Customers
CUST-00144,Christopher Rubio,2,46,758789.34,5,5,5,555,15,Champions
CUST-00145,Amber Wright,55,5,28315.879999999997,3,3,2,332,8,Needs Attention
CUST-00146,Joyce Solis,215,6,67375.71,2,3,3,233,8,At Risk
CUST-00147,Victoria Larson,42,9,89788.22,4,4,3,443,11,Loyal Customers
CUST-00148,Stephanie Salazar,71,5,110714.84999999999,3,3,3,333,9,Loyal Customers
CUST-00149,Kathy Rivas,34,7,37735.01,4,3,2,432,9,Needs Attention
CUST-00150,Stephanie Manning,115,6,27508.14,2,3,2,232,7,Needs Attention
CUST-00151,David Wright,12,15,361372.57,5,5,5,555,15,Champions
CUST-00153,Denise Jones,201,1,54260.95,2,1,2,212,5,Lost Customers
CUST-00154,Devon Flores,24,36,648488.4649133828,4,5,5,455,14,Champions
CUST-00155,Brenda Hall,3,24,560971.0,5,5,5,555,15,Champions
CUST-00156,Michelle Brown,26,10,129785.98999999999,4,4,4,444,12,Champions
CUST-00157,Joshua Perry,3,8,89014.48999999999,5,4,3,543,12,Loyal Customers
CUST-00158,Jason Stein,519,3,90865.03,1,2,3,123,6,Needs Attention
CUST-00159,Melissa Gates,14,1,2382.34,5,1,1,511,7,New Customers
CUST-00160,Jamie Smith,141,5,53545.92,2,3,2,232,7,Needs Attention
CUST-00161,Paul Castaneda,56,6,259547.93999999997,3,3,5,335,11,Loyal Customers
CUST-00162,Jennifer Adkins,13,6,149924.59,5,3,4,534,12,Loyal Customers
CUST-00163,Lindsey Walker,82,2,22352.07,3,1,2,312,6,Needs Attention
CUST-00164,Jeffrey Johnson,4,48,618567.56,5,5,5,555,15,Champions
CUST-00165,Michael Powell,12,59,1033327.1,5,5,5,555,15,Champions
CUST-00166,John Anderson,53,5,53237.88,3,3,2,332,8,Needs Attention
CUST-00167,Alyssa Long,96,8,76641.99,3,4,3,343,10,Loyal Customers
CUST-00168,Alyssa Day,634,1,103670.34,1,1,3,113,5,Needs Attention
CUST-00169,Joel Williams,24,7,117401.01000000001,4,3,3,433,10,Loyal Customers
CUST-00170,Daniel Murphy,12,10,290803.54,5,4,5,545,14,Champions
CUST-00171,Jamie Walton,429,1,8259.32,1,1,1,111,3,Lost Customers
CUST-00172,Darlene Miller,2,25,303596.95,5,5,5,555,15,Champions
CUST-00173,Joshua Cooke,38,18,153786.03,4,5,4,454,13,Champions
CUST-00174,Matthew Harrington,20,34,420301.86,4,5,5,455,14,Champions
CUST-00175,Nicole Herring,110,9,123109.67,2,4,4,244,10,At Risk
CUST-00176,Alex Hernandez,7,6,37308.78,5,3,2,532,10,Needs Attention
CUST-00177,Michael Elliott,27,7,328349.78,4,3,5,435,12,Loyal Customers
CUST-00178,Michael Wang,32,31,355335.43,4,5,5,455,14,Champions
CUST-00179,Lawrence Adkins,12,14,229340.76,5,5,4,554,14,Champions
CUST-00181,Alexander Collins,12,2,28399.46,5,1,2,512,8,New Customers
CUST-00182,Tina Sanders,308,4,64635.100000000006,1,2,3,123,6,Needs Attention
CUST-00183,Angela Vaughn,43,15,202029.51,4,5,4,454,13,Champions
CUST-00184,Ashley Barton,16,70,1164240.94,5,5,5,555,15,Champions
CUST-00185,Unknown Customer,585,2,93303.29000000001,1,1,3,113,5,Needs Attention
CUST-00186,Dr. Hannah Patterson,24,10,103155.35,4,4,3,443,11,Loyal Customers
CUST-00187,Jonathan Peterson,78,7,184193.71000000002,3,3,4,334,10,Loyal Customers
CUST-00188,Samantha Garcia,10,42,647487.48,5,5,5,555,15,Champions
CUST-00189,Madison Poole,92,11,223540.2,3,4,4,344,11,Loyal Customers
CUST-00190,Jessica Gross,9,21,441315.54,5,5,5,555,15,Champions
CUST-00191,Debra Morton,76,4,56573.72,3,2,2,322,7,Needs Attention
CUST-00192,Karen Graham,97,3,32217.370000000003,3,2,2,322,7,Needs Attention
CUST-00193,Debra Christian,176,2,10524.37,2,1,1,211,4,Lost Customers
CUST-00195,John Bishop,3,18,461733.99,5,5,5,555,15,Champions
CUST-00196,Allen Rosales,79,13,374482.77999999997,3,4,5,345,12,Loyal Customers
CUST-00197,Daniel Salinas,1,516,8956220.4,5,5,5,555,15,Champions
CUST-00198,Unknown Customer,9,153,2001636.5,5,5,5,555,15,Champions
CUST-00199,Adam Vaughan,50,7,107873.54000000001,3,3,3,333,9,Loyal Customers
CUST-00200,Nathan Freeman,377,7,194589.39,1,3,4,134,8,At Risk
CUST-00201,Melissa Brewer,14,34,764740.12,5,5,5,555,15,Champions
CUST-00202,Ricky Davis II,21,26,562602.6000000001,4,5,5,455,14,Champions
CUST-00203,Elizabeth Perkins,661,2,40818.57,1,1,2,112,4,Lost Customers
CUST-00204,Joseph Coleman,18,4,77943.45,5,2,3,523,10,New Customers
CUST-00205,Erin Warner,520,1,27296.25,1,1,2,112,4,Lost Customers
CUST-00206,David Martinez,7,47,724422.01,5,5,5,555,15,Champions
CUST-00207,Bryan Herrera,234,5,30145.35,2,3,2,232,7,Needs Attention
CUST-00208,Cathy Robinson,49,2,68215.77,3,1,3,313,7,Potential Loyalists
CUST-00209,Dr. William Warren,37,8,120572.8,4,4,4,444,12,Champions
CUST-00210,Brian Lee,101,5,118575.89,2,3,3,233,8,At Risk
CUST-00211,Christopher Smith,117,1,3570.31,2,1,1,211,4,Lost Customers
CUST-00212,Denise Mccann,423,2,37813.88,1,1,2,112,4,Lost Customers
CUST-00213,Melissa Martinez,131,6,33815.479999999996,2,3,2,232,7,Needs Attention
CUST-00214,Katherine Salas,124,4,6795.77,2,2,1,221,5,Lost Customers
CUST-00215,Julie Alexander,73,9,111118.06,3,4,3,343,10,Loyal Customers
CUST-00216,Anthony Everett,209,6,65278.27,2,3,3,233,8,At Risk
CUST-00217,Rodney Morales,19,11,105532.07,4,4,3,443,11,Loyal Customers
CUST-00218,Mark Brown,79,5,57418.19,3,3,3,333,9,Loyal Customers
CUST-00219,Justin Torres,101,4,11530.77,2,2,1,221,5,Lost Customers
CUST-00220,Bailey Duran DDS,45,20,374619.79,4,5,5,455,14,Champions
CUST-00221,Courtney Mills,22,10,256663.78,4,4,5,445,13,Champions
CUST-00222,Jeremy Dalton,224,1,102002.4,2,1,3,213,6,Needs Attention
CUST-00223,Elizabeth Oliver DDS,21,4,108346.33,4,2,3,423,9,New Customers
CUST-00224,Theresa Clark,32,14,137371.04,4,5,4,454,13,Champions
CUST-00225,Matthew Moore,101,8,146664.13,2,4,4,244,10,At Risk
CUST-00226,Benjamin Smith,44,5,158099.94,4,3,4,434,11,Loyal Customers
CUST-00227,Unknown Customer,383,1,6634.02,1,1,1,111,3,Lost Customers
CUST-00228,Michael Warner,53,2,8002.969999999999,3,1,1,311,5,Needs Attention
CUST-00229,Michael Bradshaw,603,1,2229.95,1,1,1,111,3,Lost Customers
CUST-00230,Lori Guerrero,31,3,17989.840000000004,4,2,1,421,7,New Customers
CUST-00231,Jessica Stephens,73,6,26344.37,3,3,2,332,8,Needs Attention
CUST-00232,Susan Serrano,178,2,8667.66,2,1,1,211,4,Lost Customers
CUST-00233,Christopher Parker,347,5,38687.13,1,3,2,132,6,Needs Attention
CUST-00234,Laura Roberts,7,16,472303.71,5,5,5,555,15,Champions
CUST-00235,Michael Lyons,117,1,4509.23,2,1,1,211,4,Lost Customers
CUST-00236,Kathryn Snyder,47,7,214489.75,4,3,4,434,11,Loyal Customers
CUST-00237,Andrew Reynolds,3,14,313484.98,5,5,5,555,15,Champions
CUST-00238,David Davis,172,2,3225.6099999999997,2,1,1,211,4,Lost Customers
CUST-00239,Sara Johnston,47,9,275674.01999999996,4,4,5,445,13,Champions
CUST-00240,Yvonne Chambers,33,17,443872.11,4,5,5,455,14,Champions
CUST-00241,Andrew Avila,22,38,723394.59,4,5,5,455,14,Champions
CUST-00242,Matthew Moon,76,4,82429.3,3,2,3,323,8,Potential Loyalists
CUST-00243,Unknown Customer,39,29,433626.1,4,5,5,455,14,Champions
CUST-00244,Brandon Bailey MD,195,7,30841.31,2,3,2,232,7,Needs Attention
CUST-00245,Shannon Rivera,141,3,112409.48000000001,2,2,3,223,7,Needs Attention
CUST-00246,Donna Landry,463,4,50681.5,1,2,2,122,5,Lost Customers
CUST-00247,Krista Gibson,2,63,1150971.96,5,5,5,555,15,Champions
CUST-00248,Frank Cordova,56,6,37511.2,3,3,2,332,8,Needs Attention
CUST-00249,Jose Travis,308,1,1770.19,1,1,1,111,3,Lost Customers
CUST-00250,Kimberly Gutierrez,56,5,117002.65,3,3,3,333,9,Loyal Customers
CUST-00251,Isaiah Avila,283,3,12239.27,1,2,1,121,4,Lost Customers
CUST-00253,Tanya Kim,67,2,73439.93,3,1,3,313,7,Potential Loyalists
CUST-00254,Barbara Dudley,439,2,9458.67,1,1,1,111,3,Lost Customers
CUST-00255,Cynthia Moore,502,1,25758.6,1,1,2,112,4,Lost Customers
CUST-00256,Kristen Davis,25,2,17787.4,4,1,1,411,6,New Customers
CUST-00257,Susan Murray MD,32,11,99743.73999999999,4,4,3,443,11,Loyal Customers
CUST-00258,Kathleen Moran,42,2,4345.93,4,1,1,411,6,New Customers
CUST-00259,Denise Davenport,340,3,25272.420000000002,1,2,2,122,5,Lost Customers
CUST-00260,Mrs. Kristen Reyes,13,17,218131.18,5,5,4,554,14,Champions
CUST-00261,Katie Suarez,311,4,39819.38,1,2,2,122,5,Lost Customers
CUST-00262,Desiree Tyler,154,12,283132.61,2,4,5,245,11,At Risk
CUST-00263,Timothy Romero,4,5,26740.78,5,3,2,532,10,Needs Attention
CUST-00264,Diane Evans,198,2,12110.91,2,1,1,211,4,Lost Customers
CUST-00266,Joshua Reed,344,1,1696.73,1,1,1,111,3,Lost Customers
CUST-00267,Kimberly Gibson,78,5,94609.53000000001,3,3,3,333,9,Loyal Customers
CUST-00268,Colin Terry,458,2,13527.34,1,1,1,111,3,Lost Customers
CUST-00270,Patrick Thornton,607,1,2612.3,1,1,1,111,3,Lost Customers
CUST-00271,Jasmin Alvarado,58,7,55274.76,3,3,2,332,8,Needs Attention
CUST-00272,Veronica Simpson,539,2,14841.16,1,1,1,111,3,Lost Customers
CUST-00273,Jonathan Lawrence,514,2,1782.96,1,1,1,111,3,Lost Customers
CUST-00274,Shelly Alexander,180,4,90264.98000000001,2,2,3,223,7,Needs Attention
CUST-00275,Joyce Bowen,4,14,254907.90000000002,5,5,5,555,15,Champions
CUST-00276,Matthew Moore,89,2,17126.34,3,1,1,311,5,Needs Attention
CUST-00277,Wayne Morgan,17,14,155194.89,5,5,4,554,14,Champions
CUST-00278,Marie Christian,18,8,241092.51,5,4,4,544,13,Champions
CUST-00279,Shannon James,489,2,5627.28,1,1,1,111,3,Lost Customers
CUST-00280,Nathan Malone,73,16,186421.91,3,5,4,354,12,Loyal Customers
CUST-00281,Amanda Jones,63,22,363116.65,3,5,5,355,13,Loyal Customers
CUST-00283,Jessica Garcia,318,2,3746.29,1,1,1,111,3,Lost Customers
CUST-00284,Shelia Wallace,33,19,282617.92,4,5,5,455,14,Champions
CUST-00285,Stephanie Williams,42,16,203149.35,4,5,4,454,13,Champions
CUST-00286,Elaine Brooks,215,2,5485.43,2,1,1,211,4,Lost Customers
CUST-00287,Joseph Knight,76,1,1065.71,3,1,1,311,5,Needs Attention
CUST-00288,Carolyn Miller,186,2,14179.539999999999,2,1,1,211,4,Lost Customers
CUST-00289,Lisa Allen,25,6,84862.13,4,3,3,433,10,Loyal Customers
CUST-00290,Briana Murray,5,10,419774.47000000003,5,4,5,545,14,Champions
CUST-00291,David Smith,55,6,186085.83,3,3,4,334,10,Loyal Customers
CUST-00292,Stephanie Byrd,115,3,298976.22,2,2,5,225,9,Needs Attention
CUST-00293,Jeremy Reed,16,13,241179.15,5,4,4,544,13,Champions
CUST-00295,Ryan Gonzalez,156,2,3901.2200000000003,2,1,1,211,4,Lost Customers
CUST-00296,John Young,45,8,25488.14,4,4,2,442,10,Needs Attention
CUST-00297,Laura Haney,44,20,273234.27,4,5,5,455,14,Champions
CUST-00298,William Barrett,418,2,262167.58999999997,1,1,5,115,7,Needs Attention
CUST-00299,Keith Jennings,3,9,80157.51,5,4,3,543,12,Loyal Customers
CUST-00301,Tanner Mitchell DDS,4,6,95126.42,5,3,3,533,11,Loyal Customers
CUST-00302,Heather Fields,24,7,94376.01999999999,4,3,3,433,10,Loyal Customers
CUST-00303,Megan Le,194,1,2721.87,2,1,1,211,4,Lost Customers
CUST-00304,Sara Fuller,36,3,7253.78,4,2,1,421,7,New Customers
CUST-00305,Maria Parker,102,5,38867.49,2,3,2,232,7,Needs Attention
CUST-00306,Kevin Oconnor,604,1,9262.39,1,1,1,111,3,Lost Customers
CUST-00307,Edward Burgess,48,3,260576.19,3,2,5,325,10,Potential Loyalists
CUST-00308,Carlos Ryan,160,2,19831.33,2,1,1,211,4,Lost Customers
CUST-00309,Kiara Mcintyre,249,7,90656.1,1,3,3,133,7,At Risk
CUST-00310,Dawn Summers,113,4,72703.17,2,2,3,223,7,Needs Attention
CUST-00311,Dr. Paul Morgan,45,22,367222.45,4,5,5,455,14,Champions
CUST-00312,Victor Taylor,3,14,209029.59,5,5,4,554,14,Champions
CUST-00313,Shannon Ramsey,36,8,71461.42,4,4,3,443,11,Loyal Customers
CUST-00314,Tracy Ballard,39,13,324884.39,4,4,5,445,13,Champions
CUST-00315,Richard Smith,34,9,72787.79,4,4,3,443,11,Loyal Customers
CUST-00316,Jordan Chambers,586,1,4515.12,1,1,1,111,3,Lost Customers
CUST-00317,Lauren Carson,720,1,1765.64,1,1,1,111,3,Lost Customers
CUST-00318,Ashley Hall,55,10,154103.94,3,4,4,344,11,Loyal Customers
CUST-00319,Stephen Hoffman,28,12,299792.18,4,4,5,445,13,Champions
CUST-00320,Connie Brown,149,3,27436.760000000002,2,2,2,222,6,Lost Customers
CUST-00321,Susan Turner,220,1,13523.94,2,1,1,211,4,Lost Customers
CUST-00323,Johnathan Davis,88,5,113150.32,3,3,3,333,9,Loyal Customers
CUST-00324,Brandy Chavez,58,6,80702.15000000001,3,3,3,333,9,Loyal Customers
CUST-00325,Natalie Bautista,52,6,41020.56,3,3,2,332,8,Needs Attention
CUST-00326,Patrick Moore,68,6,51195.979999999996,3,3,2,332,8,Needs Attention
CUST-00327,Brett Burns,10,72,1362942.4,5,5,5,555,15,Champions
CUST-00328,Trevor Johnson,24,3,28927.57,4,2,2,422,8,New Customers
CUST-00329,Jeremy Sampson,40,2,33779.06,4,1,2,412,7,New Customers
CUST-00331,Vanessa Howard,53,1,33337.23,3,1,2,312,6,Needs Attention
CUST-00333,Jordan Bates,458,1,903.52,1,1,1,111,3,Lost Customers
CUST-00334,Linda Smith,607,1,14025.42,1,1,1,111,3,Lost Customers
CUST-00335,Dana Martinez,291,2,45478.42,1,1,2,112,4,Lost Customers
CUST-00336,Andrea Hubbard,128,1,11104.54,2,1,1,211,4,Lost Customers
CUST-00337,Daniel Kane,34,24,724142.04,4,5,5,455,14,Champions
CUST-00338,Charles Lester,113,2,6481.79,2,1,1,211,4,Lost Customers
CUST-00339,Scott Thomas,12,6,100517.74,5,3,3,533,11,Loyal Customers
CUST-00340,David Thompson,219,4,63733.479999999996,2,2,3,223,7,Needs Attention
CUST-00341,Allison Smith,5,60,1031933.03,5,5,5,555,15,Champions
CUST-00342,Cynthia Morris,341,2,49406.46,1,1,2,112,4,Lost Customers
CUST-00343,Anthony Harmon,222,4,113108.56,2,2,3,223,7,Needs Attention
CUST-00344,Nichole Alvarez,31,36,721564.36,4,5,5,455,14,Champions
CUST-00345,Kayla Rodriguez,93,10,93868.03,3,4,3,343,10,Loyal Customers
CUST-00346,Theresa Williams,4,12,209845.47,5,4,4,544,13,Champions
CUST-00347,Sharon Boyd,64,5,169675.69,3,3,4,334,10,Loyal Customers
CUST-00348,Victor Brown,41,1,2454.46,4,1,1,411,6,New Customers
CUST-00349,James Parks,82,3,72790.49,3,2,3,323,8,Potential Loyalists
CUST-00350,Theodore Jones Jr.,92,23,514162.08,3,5,5,355,13,Loyal Customers
CUST-00351,Ana Hill,92,6,119062.98,3,3,4,334,10,Loyal Customers
CUST-00352,Kimberly Nguyen,237,1,2953.22,2,1,1,211,4,Lost Customers
CUST-00354,Michael Farrell,164,9,93025.82999999999,2,4,3,243,9,At Risk
CUST-00355,Patricia Le,84,2,64493.520000000004,3,1,3,313,7,Potential Loyalists
CUST-00356,Jesse Perez,307,2,20139.440000000002,1,1,1,111,3,Lost Customers
