Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Sub_Category,Quantity,Sales,Discount,Profit,Region,State,City,Payment_Mode,Shipping_Mode,Year,Month,Month_Name,Quarter,Day_of_Week,Profit_Margin,Unit_Price
ORD-001823,2022-07-05,CUST-00133,Mary Marshall,PROD-00303,Team Sports Much Lite,Sports,Team Sports,4,15173.83,0.15,1341.9,North,Uttar Pradesh,Lucknow,Credit Card,Standard,2022,7,Jul,3,Tuesday,0.0884,3793.46
ORD-016529,2022-09-23,CUST-02181,Erica Brown,PROD-00304,Team Sports Arrive Elite,Sports,Team Sports,4,20832.84,0.0,3079.17,East,West Bengal,Howrah,UPI,Economy,2022,9,Sep,3,Friday,0.1478,5208.21
ORD-015960,2023-01-09,CUST-03594,Raymond Finley,PROD-00192,Supplies Or Pro,Office Supplies,Supplies,1,2023.36,0.1,192.85,North,Punjab,Chandigarh,Credit Card,Standard,2023,1,Jan,1,Monday,0.0953,2023.36
ORD-034971,2022-06-23,CUST-04043,Elizabeth Gay,PROD-00131,Kids Fund Lite,Clothing,Kids,3,5256.6,0.05,1006.38,North,Uttar Pradesh,Lucknow,Wallet,Same Day,2022,6,Jun,2,Thursday,0.1915,1752.2
ORD-031835,2023-10-06,CUST-02256,Brian Soto,PROD-00048,Accessories Shake Lite,Electronics,Accessories,3,95771.94,0.0,12291.83,West,Maharashtra,Pune,Debit Card,Economy,2023,10,Oct,4,Friday,0.1283,31923.98
ORD-012711,2022-03-06,CUST-02219,Cheryl Turner,PROD-00007,Mobiles Story Lite,Electronics,Mobiles,2,9795.78,0.0,1336.22,West,Rajasthan,Jaipur,UPI,Standard,2022,3,Mar,1,Sunday,0.1364,4897.89
ORD-030283,2022-06-03,CUST-01481,Russell Anderson,PROD-00091,Storage Growth Classic,Furniture,Storage,3,15726.87,0.0,1998.97,West,Gujarat,Vadodara,Cash on Delivery,Economy,2022,6,Jun,2,Friday,0.1271,5242.29
ORD-020932,2022-12-09,CUST-02300,Karen Griffin,PROD-00058,Chairs Head Lite,Furniture,Chairs,2,15648.44,0.1,2175.84,North,Punjab,Amritsar,Net Banking,Same Day,2022,12,Dec,4,Friday,0.139,7824.22
ORD-032204,2023-11-22,CUST-01749,Jennifer Yu,PROD-00238,Decor Sound Lite,Home & Kitchen,Decor,2,1364.14,0.0,176.02,West,Rajasthan,Jodhpur,Credit Card,Express,2023,11,Nov,4,Wednesday,0.129,682.07
ORD-033246,2023-08-02,CUST-01229,Jessica Garcia,PROD-00162,Paper Player Max,Office Supplies,Paper,3,4077.83,0.15,212.74,North,Delhi,Rohini,Wallet,Express,2023,8,Aug,3,Wednesday,0.0522,1359.28
ORD-010082,2023-11-12,CUST-02497,Sharon Baird,PROD-00100,Furnishings Material Max,Furniture,Furnishings,1,4604.39,0.05,206.94,East,Odisha,Cuttack,Wallet,Express,2023,11,Nov,4,Sunday,0.0449,4604.39
ORD-032519,2022-10-20,CUST-02074,Charles Hernandez,PROD-00204,Labels Talk Pro,Office Supplies,Labels,3,5741.22,0.15,246.6,West,Rajasthan,Jaipur,Debit Card,Standard,2022,10,Oct,4,Thursday,0.043,1913.74
ORD-018077,2022-09-12,CUST-00479,Curtis Williams,PROD-00058,Chairs Head Lite,Furniture,Chairs,1,7824.22,0.0,522.05,East,Bihar,Bhagalpur,Debit Card,Express,2022,9,Sep,3,Monday,0.0667,7824.22
ORD-020276,2022-07-14,CUST-00526,Joseph Shaw,PROD-00045,Accessories Customer Pro,Electronics,Accessories,2,31613.4,0.05,3902.91,South,Karnataka,Mysuru,Net Banking,Economy,2022,7,Jul,3,Thursday,0.1235,15806.7
ORD-019218,2022-12-01,CUST-02511,Laurie Shaw,PROD-00017,Laptops Strong Classic,Electronics,Laptops,2,38596.34,0.0,5499.35,West,Maharashtra,Pune,UPI,Standard,2022,12,Dec,4,Thursday,0.1425,19298.17
ORD-010201,2022-01-16,CUST-00341,Allison Smith,PROD-00001,Mobiles Social Elite,Electronics,Mobiles,4,84278.16,0.1,3019.88,North,Uttar Pradesh,Lucknow,Wallet,Standard,2022,1,Jan,1,Sunday,0.0358,21069.54
ORD-027536,2022-09-27,CUST-03845,Sara Hamilton,PROD-00267,Lighting Career Lite,Home & Kitchen,Lighting,1,5091.23,0.4,-1286.02,South,Telangana,Warangal,UPI,Standard,2022,9,Sep,3,Tuesday,-0.2526,5091.23
ORD-026805,2022-08-01,CUST-03061,Michael Brooks,PROD-00206,Labels Cup Pro,Office Supplies,Labels,1,58.02,0.2,0.14,North,Uttar Pradesh,Kanpur,Wallet,Standard,2022,8,Aug,3,Monday,0.0024,58.02
ORD-004422,2023-09-18,CUST-01036,Natalie Malone,PROD-00234,Appliances Ago Pro,Home & Kitchen,Appliances,3,11003.78,0.4,-1686.54,East,West Bengal,Siliguri,Cash on Delivery,Express,2023,9,Sep,3,Monday,-0.1533,3667.93
ORD-003050,2023-09-05,CUST-00337,Daniel Kane,PROD-00233,Appliances Fine Max,Home & Kitchen,Appliances,4,25531.52,0.1,1407.56,West,Maharashtra,Mumbai,Wallet,Standard,2023,9,Sep,3,Tuesday,0.0551,6382.88
ORD-038684,2023-03-07,CUST-02697,Laura Gregory,PROD-00133,Kids Project Classic,Clothing,Kids,4,2379.2,0.2,177.28,North,Uttar Pradesh,Kanpur,Debit Card,Express,2023,3,Mar,1,Tuesday,0.0745,594.8
ORD-016177,2023-01-27,CUST-01451,Joel Wise,PROD-00102,Furnishings Affect Plus,Furniture,Furnishings,4,77216.28,0.15,2717.42,West,Gujarat,Ahmedabad,UPI,Standard,2023,1,Jan,1,Friday,0.0352,19304.07
ORD-014732,2022-01-12,CUST-03397,Jeffrey Romero,PROD-00042,Cameras Often Elite,Electronics,Cameras,2,48748.56,0.2,-2616.1,West,Gujarat,Ahmedabad,UPI,Standard,2022,1,Jan,1,Wednesday,-0.0537,24374.28
ORD-006872,2023-11-11,CUST-01110,Lorraine Turner,PROD-00291,Outdoor Position Max,Sports,Outdoor,3,1524.32,0.05,167.62,North,Punjab,Amritsar,UPI,Express,2023,11,Nov,4,Saturday,0.11,508.11
ORD-040963,2023-07-14,CUST-02404,Patricia Harvey,PROD-00335,Apparel Network Elite,Sports,Apparel,1,621.51,0.05,77.89,South,Tamil Nadu,Madurai,UPI,Standard,2023,7,Jul,3,Friday,0.1253,621.51
ORD-014495,2023-05-15,CUST-02383,Juan Keller MD,PROD-00204,Labels Talk Pro,Office Supplies,Labels,2,4502.92,0.0,863.58,North,Punjab,Amritsar,Credit Card,Economy,2023,5,May,2,Monday,0.1918,2251.46
ORD-002768,2023-06-01,CUST-01839,Christopher Davis,PROD-00193,Supplies Child Elite,Office Supplies,Supplies,1,2256.02,0.0,331.99,South,Karnataka,Mangaluru,Net Banking,Express,2023,6,Jun,2,Thursday,0.1472,2256.02
ORD-024823,2022-06-08,CUST-03150,Richard Bailey,PROD-00133,Kids Project Classic,Clothing,Kids,3,2230.5,0.0,504.19,South,Tamil Nadu,Chennai,Wallet,Standard,2022,6,Jun,2,Wednesday,0.226,743.5
ORD-041055,2023-01-12,CUST-03163,Eric Fitzgerald,PROD-00171,Binders Star Max,Office Supplies,Binders,1,1624.53,0.05,250.71,South,Telangana,Hyderabad,Debit Card,Economy,2023,1,Jan,1,Thursday,0.1543,1624.53
ORD-015177,2022-08-23,CUST-04058,Victoria Benitez,PROD-00301,Team Sports Among Elite,Sports,Team Sports,4,2373.03,0.15,62.51,West,Maharashtra,Mumbai,Credit Card,Express,2022,8,Aug,3,Tuesday,0.0263,593.26
ORD-010649,2022-04-08,CUST-02818,Jordan Schneider,PROD-00112,Men Where Classic,Clothing,Men,5,4482.6,0.0,1118.94,North,Punjab,Chandigarh,Wallet,Express,2022,4,Apr,2,Friday,0.2496,896.52
ORD-029518,2022-02-25,CUST-03068,Alexander Hunt,PROD-00224,Cookware Land Max,Home & Kitchen,Cookware,5,23327.5,0.0,3348.08,East,Bihar,Bhagalpur,Net Banking,Same Day,2022,2,Feb,1,Friday,0.1435,4665.5
ORD-022280,2023-02-20,CUST-00814,Michael Roberts,PROD-00101,Furnishings At Elite,Furniture,Furnishings,4,8596.78,0.05,373.99,West,Maharashtra,Mumbai,Debit Card,Same Day,2023,2,Feb,1,Monday,0.0435,2149.2
ORD-030326,2022-01-20,CUST-03875,Mary Meyer,PROD-00056,Chairs Reduce Elite,Furniture,Chairs,2,58246.83,0.1,1091.7,West,Maharashtra,Nagpur,UPI,Standard,2022,1,Jan,1,Thursday,0.0187,29123.42
ORD-005145,2022-07-02,CUST-03239,Jeanette Brown,PROD-00260,Lighting Decade Elite,Home & Kitchen,Lighting,1,1450.89,0.05,211.07,North,Delhi,Dwarka,Credit Card,Standard,2022,7,Jul,3,Saturday,0.1455,1450.89
ORD-021392,2023-08-10,CUST-03566,Nathaniel Wright,PROD-00265,Lighting Commercial Classic,Home & Kitchen,Lighting,1,8462.02,0.2,92.41,East,West Bengal,Howrah,Credit Card,Express,2023,8,Aug,3,Thursday,0.0109,8462.02
ORD-009762,2022-09-15,CUST-03580,Unknown Customer,PROD-00014,Mobiles History Max,Electronics,Mobiles,1,13225.75,0.05,1786.01,South,Karnataka,Mysuru,Credit Card,Standard,2022,9,Sep,3,Thursday,0.135,13225.75
ORD-007748,2022-11-01,CUST-00248,Frank Cordova,PROD-00153,Winterwear If Lite,Clothing,Winterwear,1,794.3,0.05,87.16,South,Telangana,Warangal,Wallet,Economy,2022,11,Nov,4,Tuesday,0.1097,794.3
ORD-007463,2023-10-03,CUST-02360,Charles Hawkins,PROD-00157,Paper Fund Plus,Office Supplies,Paper,4,5090.19,0.25,-230.55,East,Bihar,Patna,Wallet,Standard,2023,10,Oct,4,Tuesday,-0.0453,1272.55
ORD-019639,2023-01-05,CUST-02757,Vanessa Zimmerman,PROD-00110,Men Rise Max,Clothing,Men,2,1169.66,0.0,274.22,North,Uttar Pradesh,Lucknow,Wallet,Standard,2023,1,Jan,1,Thursday,0.2344,584.83
ORD-033985,2022-05-22,CUST-00589,Dale Ryan,PROD-00137,Footwear Section Lite,Clothing,Footwear,2,3995.15,0.1,458.43,West,Gujarat,Surat,Net Banking,Economy,2022,5,May,2,Sunday,0.1147,1997.58
ORD-024993,2023-04-15,CUST-02578,Lisa James,PROD-00259,Storage Fact Lite,Home & Kitchen,Storage,2,14025.42,0.0,1712.43,South,Tamil Nadu,Chennai,Credit Card,Economy,2023,4,Apr,2,Saturday,0.1221,7012.71
ORD-032479,2023-07-10,CUST-01095,Michael Cooper,PROD-00290,Outdoor General Elite,Sports,Outdoor,5,21822.39,0.1,2218.91,East,Odisha,Rourkela,Net Banking,Standard,2023,7,Jul,3,Monday,0.1017,4364.48
ORD-037315,2023-02-25,CUST-00417,Gwendolyn Klein,PROD-00049,Accessories Money Plus,Electronics,Accessories,2,56920.34,0.15,1477.23,South,Karnataka,Mysuru,Wallet,Standard,2023,2,Feb,1,Saturday,0.026,28460.17
ORD-004058,2023-12-27,CUST-01107,Martha Smith,PROD-00055,Accessories Method Lite,Electronics,Accessories,1,31005.58,0.15,110.85,North,Punjab,Amritsar,Credit Card,Standard,2023,12,Dec,4,Wednesday,0.0036,31005.58
ORD-018095,2023-01-05,CUST-03618,Matthew Simmons,PROD-00249,Storage One Max,Home & Kitchen,Storage,1,9262.39,0.2,-91.26,East,Odisha,Cuttack,Cash on Delivery,Standard,2023,1,Jan,1,Thursday,-0.0099,9262.39
ORD-017080,2023-04-05,CUST-00281,Amanda Jones,PROD-00128,Kids Day Elite,Clothing,Kids,1,2787.76,0.2,223.11,South,Karnataka,Mangaluru,Net Banking,Express,2023,4,Apr,2,Wednesday,0.08,2787.76
ORD-032149,2023-10-08,CUST-00988,Nicholas Payne,PROD-00104,Furnishings Hope Classic,Furniture,Furnishings,2,22067.63,0.4,-5621.61,East,West Bengal,Siliguri,Debit Card,Economy,2023,10,Oct,4,Sunday,-0.2547,11033.82
ORD-035382,2023-03-03,CUST-00543,Kenneth Edwards,PROD-00248,Storage Idea Plus,Home & Kitchen,Storage,1,11032.54,0.05,1527.88,South,Telangana,Hyderabad,Credit Card,Standard,2023,3,Mar,1,Friday,0.1385,11032.54
ORD-005848,2022-03-09,CUST-01255,Julia Dunn MD,PROD-00180,Binders Star Elite,Office Supplies,Binders,1,386.93,0.0,63.72,East,Odisha,Rourkela,Unknown,Economy,2022,3,Mar,1,Wednesday,0.1647,386.93
ORD-000466,2022-03-26,CUST-01944,Jaclyn Watson,PROD-00098,Furnishings Hope Elite,Furniture,Furnishings,1,14085.8,0.1,328.58,South,Telangana,Nizamabad,Credit Card,Express,2022,3,Mar,1,Saturday,0.0233,14085.8
ORD-029714,2022-06-16,CUST-03512,Shawna Silva,PROD-00057,Chairs As Max,Furniture,Chairs,1,3771.94,0.1,-30.72,South,Telangana,Hyderabad,Cash on Delivery,Standard,2022,6,Jun,2,Thursday,-0.0081,3771.94
ORD-022865,2023-10-17,CUST-04099,Lisa Reed,PROD-00141,Footwear Tax Lite,Clothing,Footwear,1,3088.84,0.2,124.27,North,Delhi,Rohini,UPI,Standard,2023,10,Oct,4,Tuesday,0.0402,3088.84
ORD-038983,2023-01-10,CUST-02504,Matthew Jones,PROD-00226,Appliances Tell Elite,Home & Kitchen,Appliances,3,8237.21,0.15,221.28,East,Odisha,Rourkela,Wallet,Standard,2023,1,Jan,1,Tuesday,0.0269,2745.74
ORD-014967,2023-05-03,CUST-03168,Linda Rodriguez,PROD-00154,Winterwear Social Pro,Clothing,Winterwear,4,8443.92,0.0,1849.29,North,Uttar Pradesh,Kanpur,UPI,Standard,2023,5,May,2,Wednesday,0.219,2110.98
ORD-041917,2023-09-04,CUST-03375,Martha Jacobs,PROD-00117,Women Whole Classic,Clothing,Women,4,10475.49,0.2,46.52,North,Uttar Pradesh,Lucknow,UPI,Standard,2023,9,Sep,3,Monday,0.0044,2618.87
ORD-017548,2023-12-23,CUST-01899,Patrick Perez,PROD-00016,Laptops Leader Elite,Electronics,Laptops,1,12229.16,0.0,1839.52,East,Odisha,Cuttack,UPI,Standard,2023,12,Dec,4,Saturday,0.1504,12229.16
ORD-016078,2022-08-26,CUST-03005,Jimmy Hernandez,PROD-00059,Chairs Born Max,Furniture,Chairs,1,2592.25,0.05,200.72,West,Gujarat,Vadodara,Credit Card,Standard,2022,8,Aug,3,Friday,0.0774,2592.25
ORD-034163,2022-02-13,CUST-02312,Dr. Charles Lawrence,PROD-00202,Labels Decision Pro,Office Supplies,Labels,4,1024.56,0.0,172.02,West,Gujarat,Vadodara,UPI,Express,2022,2,Feb,1,Sunday,0.1679,256.14
ORD-017307,2022-11-05,CUST-03168,Linda Rodriguez,PROD-00321,Cycling Best Plus,Sports,Cycling,2,4529.05,0.5,-928.92,North,Uttar Pradesh,Noida,Cash on Delivery,Standard,2022,11,Nov,4,Saturday,-0.2051,2264.52
ORD-030864,2023-04-23,CUST-03951,Robert Cooper,PROD-00244,Decor Where Max,Home & Kitchen,Decor,1,4459.15,0.05,529.51,East,Bihar,Patna,Wallet,Express,2023,4,Apr,2,Sunday,0.1187,4459.15
ORD-021087,2023-02-15,CUST-00261,Katie Suarez,PROD-00091,Storage Growth Classic,Furniture,Storage,1,4193.83,0.2,-204.7,West,Rajasthan,Udaipur,Net Banking,Same Day,2023,2,Feb,1,Wednesday,-0.0488,4193.83
ORD-002136,2023-02-07,CUST-01166,Levi Lopez,PROD-00288,Outdoor Individual Pro,Sports,Outdoor,1,4478.36,0.0,818.44,West,Gujarat,Ahmedabad,Credit Card,Express,2023,2,Feb,1,Tuesday,0.1828,4478.36
ORD-012385,2023-12-20,CUST-00960,Mitchell Sellers,PROD-00153,Winterwear If Lite,Clothing,Winterwear,1,794.3,0.05,133.0,South,Karnataka,Bengaluru,Credit Card,Standard,2023,12,Dec,4,Wednesday,0.1674,794.3
ORD-017968,2023-01-26,CUST-02467,Bradley Wallace,PROD-00239,Decor Know Max,Home & Kitchen,Decor,3,22479.32,0.05,1906.92,West,Rajasthan,Udaipur,Wallet,Standard,2023,1,Jan,1,Thursday,0.0848,7493.11
ORD-013651,2022-04-28,CUST-00407,Lori Hernandez,PROD-00195,Supplies Explain Classic,Office Supplies,Supplies,2,1497.05,0.15,69.9,South,Karnataka,Mangaluru,UPI,Standard,2022,4,Apr,2,Thursday,0.0467,748.52
ORD-024270,2022-04-23,CUST-01210,Anthony Randolph,PROD-00014,Mobiles History Max,Electronics,Mobiles,3,37588.97,0.1,1803.43,South,Tamil Nadu,Madurai,Cash on Delivery,Standard,2022,4,Apr,2,Saturday,0.048,12529.66
ORD-033094,2023-02-12,CUST-04171,Julia Marks,PROD-00090,Storage Father Lite,Furniture,Storage,1,14586.73,0.15,-987.78,East,Odisha,Cuttack,UPI,Express,2023,2,Feb,1,Sunday,-0.0677,14586.73
ORD-012484,2023-05-02,CUST-02672,Antonio Nichols,PROD-00020,Laptops Western Classic,Electronics,Laptops,2,33366.42,0.1,2070.33,North,Punjab,Ludhiana,Credit Card,Standard,2023,5,May,2,Tuesday,0.062,16683.21
ORD-013311,2022-01-20,CUST-00862,Bonnie Valencia,PROD-00324,Apparel Heavy Lite,Sports,Apparel,1,2332.72,0.05,317.15,North,Uttar Pradesh,Kanpur,Cash on Delivery,Express,2022,1,Jan,1,Thursday,0.136,2332.72
ORD-031972,2022-02-16,CUST-01036,Natalie Malone,PROD-00250,Storage Close Elite,Home & Kitchen,Storage,3,30884.73,0.0,3338.52,East,Odisha,Bhubaneswar,Wallet,Express,2022,2,Feb,1,Wednesday,0.1081,10294.91
ORD-037577,2023-06-07,CUST-03869,Karen Goodman,PROD-00323,Apparel Here Max,Sports,Apparel,1,5383.52,0.0,982.0,West,Gujarat,Surat,UPI,Express,2023,6,Jun,2,Wednesday,0.1824,5383.52
ORD-006421,2023-08-22,CUST-02766,Katherine Baxter,PROD-00266,Lighting Peace Pro,Home & Kitchen,Lighting,1,8543.27,0.05,719.83,West,Maharashtra,Pune,Cash on Delivery,Express,2023,8,Aug,3,Tuesday,0.0843,8543.27
ORD-022666,2023-11-07,CUST-01213,Daniel White,PROD-00148,Winterwear After Classic,Clothing,Winterwear,1,1943.92,0.1,257.26,North,Punjab,Amritsar,Credit Card,Standard,2023,11,Nov,4,Tuesday,0.1323,1943.92
ORD-012336,2023-12-06,CUST-00198,Unknown Customer,PROD-00188,Art Heart Plus,Office Supplies,Art,3,4019.18,0.05,680.53,North,Delhi,Rohini,Debit Card,Express,2023,12,Dec,4,Wednesday,0.1693,1339.73
ORD-033331,2022-06-27,CUST-00571,Ashley Smith,PROD-00246,Decor Likely Plus,Home & Kitchen,Decor,4,44674.0,0.0,8240.33,South,Telangana,Warangal,Credit Card,Standard,2022,6,Jun,2,Monday,0.1845,11168.5
ORD-015538,2023-08-08,CUST-02012,Jill Spencer,PROD-00189,Art Thank Pro,Office Supplies,Art,1,1145.49,0.15,30.47,East,Odisha,Rourkela,Cash on Delivery,Express,2023,8,Aug,3,Tuesday,0.0266,1145.49
ORD-014564,2022-12-26,CUST-00875,Jesse Lynch,PROD-00141,Footwear Tax Lite,Clothing,Footwear,1,3281.89,0.15,126.48,South,Karnataka,Mangaluru,Credit Card,Standard,2022,12,Dec,4,Monday,0.0385,3281.89
ORD-012038,2022-11-18,CUST-00782,Amy Garcia,PROD-00090,Storage Father Lite,Furniture,Storage,5,68643.44,0.2,-7608.6,East,Bihar,Bhagalpur,Cash on Delivery,Standard,2022,11,Nov,4,Friday,-0.1108,13728.69
ORD-032056,2022-11-13,CUST-03927,Rebecca Blake,PROD-00133,Kids Project Classic,Clothing,Kids,2,1338.3,0.1,105.87,East,Bihar,Unknown,Net Banking,Economy,2022,11,Nov,4,Sunday,0.0791,669.15
